,Song title,Song author,Artist country
0,Dynamite,BTS,KR
1,Nobody's Love,Maroon 5,US
2,WAP,Cardi B & Megan Thee Stallion,US
3,Savage (Remix),Megan Thee Stallion & Beyonce,US
4,It's My Life,V6,JP
5,Come & Go,Juice WRLD & Marshmello,US
6,Laxed (Siren Beat),Jawsh 685,NZ
7,Worry About Me,Ellie Goulding & Blackbear,GB
8,Whenever You Call,Arashi,US
9,Holy,Justin Bieber & Chance The Rapper,CA
10,OK Not To Be OK,Marshmello & Demi Lovato,US
11,Don't Stop,Megan Thee Stallion & Young Thug,US
12,Over Now,Calvin Harris & Weeknd,Scotland
13,Ice Cream,Blackpink & Selena Gomez,US
14,Blinding Lights,Weeknd,CA
15,Rockstar,DaBaby & Roddy Ricch,US
16,Lemonade,"Internet Money, Gunna & Toliver",
17,Mood,24kGoldn & Iann Dior,US
18,Kanzai Boya,Kinki Kids,JP
19,Good Guy,SF9,KR
35,Loyal Brave True,Christina Aguilera,US
39,Naked Heart,Aimyon,JP
55,Smile,Katy Perry,US
57,Campanella,Kenshi Yonezu,JP
59,Fanfare,Twice,KR
88,Be Kind,Marshmello & Halsey,US
93,Take You Dancing,Jason Derulo,US
97,Heartless,"Diplo, Thomas Wesley & Morgan Wallen",US
118,Everyday,Mahina,JP
137,Swingin',Love Psychedelico,JP
150,Ur So F**kInG cOoL,Tones And I,AU
154,Stuck With U,Ariana Grande & Justin Bieber,US
176,Last Mermaid...,Hey! Say! Jump,JP
177,Stand Up,Bullet Train,
183,Cardigan,Taylor Swift,US
214,Make You Happy,NiziU,JP
216,Roses,SAINt JHN,GY
219,How You Like That,BlackPink,KR
239,Sour Candy,Lady Gaga & Blackpink,US
294,Roxanne,Arizona Zervas,US
299,Dance Monkey,Tones And I,AU
306,Yoru Ni Kakeru,Yoasobi,JP
308,Stay Gold,BTS,KR
310,Say So,Doja Cat,US
316,Mazy Night,King & Prince,JP
319,The Bigger Picture,Lil Baby,US
332,Rain On Me,Lady Gaga & Ariana Grande,US
338,Trollz,6ix9ine & Nicki Minaj,US
353,Time,Hikaru Utada,JP
355,Wish On The Same Sky,Monsta X,KR
359,Snow Jam,Rinne,EE
365,Toosie Slide,Drake,CA
370,TOP,Stray Kids,KR
392,Daylight,Morfonica,JP
393,Love So Sweet,Arashi,US
411,3-2,HKT48,JP
412,Stupid Love,Lady Gaga,US
416,Ai Wo Shiru,Last Idol,JP
421,I Love...,Official Hige Dandism,JP
433,Intentions,Justin Bieber & Quavo,CA
454,Memories,Maroon 5,US
456,Fallin' Flower,Seventeen,KR
470,Hana Ni Bourei,Yorushika,JP
478,What A Man Gotta Do,Jonas Brothers,US
496,Infinity,JO1,JP
508,I Believe,Jonas Brothers,US
513,Try Again,Mag!C Prince,JP
514,Shitsuren.Arigatou,AKB48,JP
515,Money In The Way,2 Chainz,US
516,No Time To Die,Billie Eilish,US
517,Teenager Forever,King Gnu,JP
528,Haru Wa Yuku,Aimer,JP
537,I Am,Hey! Say! Jump,JP
538,The Other Side,SZA & Justin Timberlake,US
558,Filter,BTS,KR
577,Pretender,Official Hige Dandism,JP
593,Underdog,Alicia Keys,US
595,Anata Ga Iru Koto De,Uru,JP
616,Unaccommodating,Eminem & Young M.A,US
635,Doron,King Gnu,JP
638,Yummy,Justin Bieber,CA
656,Mubou Na Yume Ha Sameru Koto Ga Nai,STU48,JP
657,Highest In The Room,Travis Scott,US
658,10000 Hours,"Dan & Shay, Justin Bieber",CA
665,Morning Musume.'20,Kokoro & Karada,
677,Soyutoko Aru Yone?,SKE48,JP
678,Sayonara No Kyouni,Aimyon,JP
689,Tomo Yo,Kanjani8,JP
697,Ritmo,Black Eyed Peas,US
716,REstart,Mameshiba No Taigun,JP
717,Good As Hell,Lizzo,US
736,Don't Start Now,Dua Lipa,England
753,Edge Of Days,Kis-My-Ft2,JP
757,Gattan Gotton Go!,Boys And Men,JP
775,Time Camera,Fantastics From Exile Tribe,JP
794,Easy Love,Sigala,GB
795,Heartless,Weeknd,CA
796,Senorita,Shawn Mendes & Camila Cabello,US
797,Into The Unknown,Panic! At The Disco,US
817,Uma To Shika,Kenshi Yonezu,JP
831,Aa Osaka Dreamin Night,Dotsuitare-Hompo,
836,Zurui Yo Zurui Ne,=LOVE,US
852,Yesterday,Official Hige Dandism,JP
855,Watashi Wo Tsukuru No Ha Watashi,Angerme,JP
877,Turning Up,Arashi,US
895,RPM,SF9,KR
896,Hatsukoi Shijou Shugi,NMB48,JP
916,All The Time,Zara Larsson,SE
927,Revival Love,Bullet Train,
933,Kyu-Mai Flower,Pastel Palettes,JP
936,If I Can't Have You,Shawn Mendes,CA
944,Yoake Made Tsuyogaranakutemo II,Nogizaka46,JP
955,Category,One N Only,IN
956,Big Shot!!,Johnny's West,JP
975,Save Rock And Roll,Fall Out Boy & Elton John,US
976,44Raiders,Ballistik Boyz,JP
1013,Shining Star,# Hashtag,
1014,Heart Beat,Hi-Five,US
1015,Dreamers,Generations From Exile Tribe,JP
1016,The Greatest,Lana Del Rey,US
1033,Feel Special,Twice,KR
1036,Brave,Arashi,US
1053,Rocket Queen,Team Shachi,JP
1055,Kodou,Touken Danshi Formation Of Mihotose,JP
1056,Seishun Train,Last Idol,JP
1075,Sora No Aosa Wo Shiru Hito Yo,Aimyon,JP
1091,I Don't Care,Ed Sheeran & Justin Bieber,CA
